"Flow ID","Flow","Month ID","Month","Trade Value","Time"
1,"Compras internacionales",200606,"2006-06",40077,1151730000000
1,"Compras internacionales",200607,"2006-07",91095,1154408400000
1,"Compras internacionales",200609,"2006-09",84068,1159678800000
1,"Compras internacionales",200610,"2006-10",35357,1162360800000
1,"Compras internacionales",200612,"2006-12",4950,1167631200000
1,"Compras internacionales",200706,"2007-06",50490,1183266000000
1,"Compras internacionales",200707,"2007-07",109418,1185944400000
1,"Compras internacionales",200708,"2007-08",51500,1188622800000
1,"Compras internacionales",200709,"2007-09",41455,1191214800000
1,"Compras internacionales",201007,"2010-07",136353,1280638800000
1,"Compras internacionales",201008,"2010-08",317348,1283317200000
1,"Compras internacionales",201107,"2011-07",223699,1312174800000
1,"Compras internacionales",201108,"2011-08",302440,1314853200000
1,"Compras internacionales",201207,"2012-07",196202,1343797200000
1,"Compras internacionales",201306,"2013-06",271203,1372654800000
1,"Compras internacionales",201307,"2013-07",146012,1375333200000
1,"Compras internacionales",201308,"2013-08",116988,1378011600000
1,"Compras internacionales",201406,"2014-06",139406,1404190800000
1,"Compras internacionales",201407,"2014-07",319279,1406869200000
1,"Compras internacionales",201408,"2014-08",519905,1409547600000
1,"Compras internacionales",201507,"2015-07",526979,1438405200000
1,"Compras internacionales",201508,"2015-08",507096,1441083600000
1,"Compras internacionales",201606,"2016-06",235103,1467349200000
1,"Compras internacionales",201607,"2016-07",807706,1470027600000
1,"Compras internacionales",201608,"2016-08",789817,1472706000000
1,"Compras internacionales",201609,"2016-09",343678,1475298000000
1,"Compras internacionales",201706,"2017-06",603056,1498885200000
1,"Compras internacionales",201707,"2017-07",987279,1501563600000
1,"Compras internacionales",201708,"2017-08",950996,1504242000000
1,"Compras internacionales",201709,"2017-09",384741,1506834000000
1,"Compras internacionales",201807,"2018-07",1098889,1533099600000
1,"Compras internacionales",201808,"2018-08",1118365,1535778000000
1,"Compras internacionales",201809,"2018-09",889428,1538370000000
1,"Compras internacionales",201907,"2019-07",240691,1564635600000
1,"Compras internacionales",202006,"2020-06",75858,1593579600000
1,"Compras internacionales",202007,"2020-07",196909,1596258000000
1,"Compras internacionales",202008,"2020-08",95398,1598936400000
1,"Compras internacionales",202009,"2020-09",13199,1601528400000
1,"Compras internacionales",202010,"2020-10",5182,1604210400000
1,"Compras internacionales",202106,"2021-06",110317,1625115600000
1,"Compras internacionales",202107,"2021-07",337811,1627794000000
1,"Compras internacionales",202108,"2021-08",726177,1630472400000
1,"Compras internacionales",202109,"2021-09",478054,1633064400000
1,"Compras internacionales",202110,"2021-10",56268,1635746400000
1,"Compras internacionales",202206,"2022-06",242461,1656651600000
1,"Compras internacionales",202207,"2022-07",626411,1659330000000
1,"Compras internacionales",202208,"2022-08",843986,1662008400000
1,"Compras internacionales",202209,"2022-09",310038,1664600400000
1,"Compras internacionales",202210,"2022-10",20635,1667282400000
1,"Compras internacionales",202307,"2023-07",611187,1690869600000
1,"Compras internacionales",202308,"2023-08",558897,1693548000000
1,"Compras internacionales",202309,"2023-09",284479,1696140000000
2,"Ventas internacionales",200601,"2006-01",11505534,1138773600000
2,"Ventas internacionales",200602,"2006-02",14072777,1141192800000
2,"Ventas internacionales",200603,"2006-03",15362292,1143871200000
